CRS_CODE,COORD_REF_SYS_NAME,COORD_OP_METHOD_NAME
2218,Scoresbysund 1952 / Greenland zone 5 east,Lambert Conic Conformal (West Orientated)
2221,Scoresbysund 1952 / Greenland zone 6 east,Lambert Conic Conformal (West Orientated)
2296,Ammassalik 1958 / Greenland zone 7 east,Lambert Conic Conformal (West Orientated)
2297,Qornoq 1927 / Greenland zone 1 east,Lambert Conic Conformal (West Orientated)
2298,Qornoq 1927 / Greenland zone 2 east,Lambert Conic Conformal (West Orientated)
2299,Qornoq 1927 / Greenland zone 2 west,Lambert Conic Conformal (West Orientated)
2300,Qornoq 1927 / Greenland zone 3 east,Lambert Conic Conformal (West Orientated)
2301,Qornoq 1927 / Greenland zone 3 west,Lambert Conic Conformal (West Orientated)
2302,Qornoq 1927 / Greenland zone 4 east,Lambert Conic Conformal (West Orientated)
2303,Qornoq 1927 / Greenland zone 4 west,Lambert Conic Conformal (West Orientated)
2304,Qornoq 1927 / Greenland zone 5 west,Lambert Conic Conformal (West Orientated)
2305,Qornoq 1927 / Greenland zone 6 west,Lambert Conic Conformal (West Orientated)
2306,Qornoq 1927 / Greenland zone 7 west,Lambert Conic Conformal (West Orientated)
2307,Qornoq 1927 / Greenland zone 8 east,Lambert Conic Conformal (West Orientated)
2963,Lisbon 1890 (Lisbon) / Portugal Bonne,Bonne (South Orientated)
2985,Petrels 1972 / Terre Adelie Polar Stereographic,Polar Stereographic (variant C)
2986,Perroud 1950 / Terre Adelie Polar Stereographic,Polar Stereographic (variant C)
3052,Reykjavik 1900 / Lambert 1900,Lambert Conic Conformal (West Orientated)
3053,Hjorsey 1955 / Lambert 1955,Lambert Conic Conformal (West Orientated)
3139,Vanua Levu 1915 / Vanua Levu Grid,Hyperbolic Cassini-Soldner
3144,FD54 / Faroe Lambert,Lambert Conic Conformal (West Orientated)
3145,ETRS89 / Faroe Lambert,Lambert Conic Conformal (West Orientated)
3173,fk89 / Faroe Lambert FK89,Lambert Conic Conformal (West Orientated)
3295,Guam 1963 / Yap Islands,Modified Azimuthal Equidistant
3823,TWD97,Geographic/geocentric conversions
3888,IGRS,Geographic/geocentric conversions
3993,Guam 1963 / Guam SPCS,Guam Projection
4017,MOLDREF99,Geographic/geocentric conversions
4040,RGRDC 2005,Geographic/geocentric conversions
4074,SREF98,Geographic/geocentric conversions
4080,REGCAN95,Geographic/geocentric conversions
4466,RGSPM06,Geographic/geocentric conversions
